Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,AUDUSD_Open,AUDUSD_High,AUDUSD_Low,AUDUSD_Close,AUDUSD_Volume,USDCAD_Open,USDCAD_High,USDCAD_Low,USDCAD_Close,USDCAD_Volume,USDCHF_Open,USDCHF_High,USDCHF_Low,USDCHF_Close,USDCHF_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,NZDUSD_Open,NZDUSD_High,NZDUSD_Low,NZDUSD_Close,NZDUSD_Volume,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Volume,USOIL_Open,USOIL_High,USOIL_Low,USOIL_Close,USOIL_Volume,DXY_Open,DXY_High,DXY_Low,DXY_Close,DXY_Volume,CADJPY_Open,CADJPY_High,CADJPY_Low,CADJPY_Close,CADJPY_Volume
2021-11-30,1.1556,1.16161,1.11859,1.13298,0,1.36824,1.36981,1.31937,1.3295,0,0.75177,0.75357,0.70624,0.71245,0,1.23835,1.28369,1.23514,1.27742,0,0.91616,0.93732,0.90856,0.91952,0,114.236,115.518,112.53,113.29,0,0.71753,0.71976,0.67722,0.68234,0,1780.058,1877.104,1758.632,1773.244,0,23.762,25.387,22.679,22.787,0,82.115,83.944,64.291,66.75,0,94.175,96.925,93.798,95.951,0.0,92.243,92.483,88.021,88.669,0
2021-12-31,1.13299,1.13861,1.12216,1.13831,0,1.32952,1.355,1.31602,1.35327,0,0.71245,0.72772,0.69926,0.72693,0,1.27739,1.29633,1.26075,1.26419,0,0.91949,0.92941,0.91017,0.91174,0,113.3,115.207,112.557,115.089,0,0.68235,0.68675,0.6701,0.68444,0,1773.247,1828.76,1753.148,1827.652,0,22.789,23.419,21.414,23.258,0,66.753,77.226,62.307,75.131,0,95.953,96.904,95.554,95.581,0.0,88.684,91.251,87.436,91.027,0
2022-01-31,1.13728,1.14826,1.11212,1.12291,0,1.35261,1.37487,1.33577,1.34445,0,0.72639,0.73139,0.69672,0.70678,0,1.26363,1.28134,1.24495,1.27172,0,0.91136,0.93428,0.90913,0.92706,0,115.042,116.349,113.467,115.109,0,0.6832,0.68903,0.6529,0.65767,0,1830.652,1853.822,1780.24,1797.775,0,23.327,24.686,21.941,22.471,0,75.493,88.198,74.098,87.511,0,95.641,97.426,94.611,96.652,0.0,91.046,92.174,89.567,90.498,0
2022-02-28,1.1229,1.14947,1.11061,1.12142,0,1.34444,1.36434,1.32725,1.34217,0,0.70676,0.72836,0.7033,0.72583,0,1.2717,1.28771,1.26356,1.26666,0,0.92708,0.92966,0.91501,0.91754,0,115.118,116.336,114.157,115.056,0,0.65763,0.68091,0.65655,0.67656,0,1797.773,1974.369,1788.596,1906.305,0,22.47,25.604,21.995,24.406,0,87.514,99.955,85.728,95.055,0,96.653,97.727,95.121,96.726,0.0,90.512,91.702,89.229,90.832,0
2022-03-31,1.1214,1.12328,1.08058,1.10725,0,1.34215,1.34371,1.29993,1.31452,0,0.72585,0.75396,0.71645,0.74911,0,1.26664,1.29007,1.24291,1.25016,0,0.91755,0.94599,0.915,0.92318,0,115.083,125.101,114.647,121.744,0,0.67658,0.69981,0.67282,0.69304,0,1906.273,2070.367,1890.151,1936.74,0,24.404,26.935,23.96,24.787,0,95.041,126.461,92.33,100.019,0,96.73,99.408,96.61,98.303,0.0,90.847,100.185,89.654,97.372,0
2022-04-30,1.10726,1.10756,1.04711,1.05449,0,1.31453,1.31667,1.24111,1.25756,0,0.74913,0.76608,0.70546,0.70611,0,1.25019,1.28794,1.24023,1.28571,0,0.9232,0.97588,0.92204,0.97339,0,121.745,131.251,121.745,129.799,0,0.69307,0.70336,0.64513,0.64556,0,1936.741,1998.267,1872.012,1896.758,0,24.788,26.206,22.674,22.753,0,100.02,109.094,92.62,103.636,0,98.299,103.925,98.291,103.18,0.0,97.373,102.944,97.365,100.955,0
2022-05-31,1.05489,1.07863,1.03492,1.07338,0,1.25813,1.26664,1.21547,1.26092,0,0.70688,0.72657,0.68286,0.71821,0,1.28412,1.30763,1.26288,1.2637,0,0.97115,1.00643,0.95445,0.95959,0,129.747,131.344,126.358,128.734,0,0.64584,0.6568,0.62133,0.6518,0,1899.427,1909.664,1786.554,1836.441,0,22.842,23.272,20.447,21.536,0,103.529,118.63,97.569,113.684,0,103.105,105.005,101.166,101.749,0.0,101.047,101.99,97.794,101.856,0
2022-06-30,1.07341,1.07735,1.03589,1.0478,0,1.26094,1.26164,1.19338,1.216,0,0.71824,0.72825,0.68502,0.68973,0,1.26373,1.30786,1.25172,1.28722,0,0.95962,1.00495,0.94949,0.95511,0,128.735,136.998,128.735,135.797,0,0.65182,0.65757,0.61961,0.62386,0,1836.474,1878.929,1802.664,1806.586,0,21.541,22.503,20.161,20.251,0,113.7,121.321,101.14,104.728,0,101.748,105.783,101.626,104.739,0.0,101.858,107.201,101.649,105.481,0
2022-07-31,1.04782,1.04782,0.99521,1.02101,0,1.21602,1.22454,1.17599,1.21675,0,0.68975,0.70314,0.66813,0.69704,0,1.28725,1.32233,1.27883,1.28142,0,0.95508,0.98857,0.95016,0.95286,0,135.796,139.385,132.503,133.371,0,0.62389,0.63288,0.60602,0.62772,0,1806.59,1814.203,1680.848,1762.178,0,20.254,20.357,18.139,20.207,0,104.718,109.5,88.318,97.036,0,104.738,109.286,104.738,105.967,0.0,105.487,107.638,103.359,104.064,0
2022-08-31,1.02102,1.03683,0.98988,1.00376,0,1.21676,1.22932,1.15931,1.15969,0,0.69705,0.71364,0.68256,0.68273,0,1.28143,1.31447,1.27273,1.31424,0,0.95284,0.98072,0.93706,0.97923,0,133.369,139.441,130.393,139.33,0,0.62774,0.64679,0.61017,0.61099,0,1762.209,1807.868,1705.578,1708.989,0,20.211,20.863,17.899,17.915,0,97.033,97.536,85.373,88.923,0,105.965,109.465,104.618,108.845,0.0,104.065,106.795,101.406,106.004,0
